,node,degree,avg_degree,std_degree,closeness,avg_closeness,std_closeness,betweenness,avg_betweenness,std_betweenness,triangle_count,avg_triangle_count,std_triangle_count,clustering_coefficient,avg_clustering_coefficient,std_clustering_coefficient,community,within_1m_population,within_2m_population,within_3m_population,within_4m_population,within_5m_population
27,Millbrae,2,2.04,0.4932193286180591,0.1226,0.169662,0.03310398514760815,0,470.44,354.982561227323,1,0.12,0.32826072265931594,1.0,0.066664,0.21295544782696607,14,22710.0,22845.0,108699.0,211710.0,281774.0
28,Milpitas,2,2.04,0.4932193286180591,0.1323,0.169662,0.03310398514760815,96,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,45,0.0,31170.0,164682.0,164682.0,435506.0
29,Montgomery Street,2,2.04,0.4932193286180591,0.1922,0.169662,0.03310398514760815,888,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,29,85465.0,268802.0,425020.0,521807.0,826249.0
30,North Berkeley,2,2.04,0.4932193286180591,0.1694,0.169662,0.03310398514760815,276,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,2,50769.0,134802.0,218308.0,285572.0,445973.0
31,North Concord,2,2.04,0.4932193286180591,0.1486,0.169662,0.03310398514760815,276,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,31,38568.0,58689.0,58689.0,165316.0,165316.0
32,OAK,1,2.04,0.4932193286180591,0.1683,0.169662,0.03310398514760815,0,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,23,0.0,84499.0,154627.0,197739.0,410051.0
33,Orinda,2,2.04,0.4932193286180591,0.1874,0.169662,0.03310398514760815,656,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,46,19341.0,19341.0,32706.0,138257.0,262181.0
34,Pittsburg,2,2.04,0.4932193286180591,0.14,0.169662,0.03310398514760815,188,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,31,0.0,0.0,96081.0,116202.0,187733.0
35,Pittsburg Center,2,2.04,0.4932193286180591,0.1284,0.169662,0.03310398514760815,96,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,31,96081.0,96081.0,96081.0,96081.0,206117.0
36,Pleasant Hill,2,2.04,0.4932193286180591,0.1627,0.169662,0.03310398514760815,440,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,31,22734.0,86258.0,107080.0,182437.0,290825.0
37,Powell Street,2,2.04,0.4932193286180591,0.1835,0.169662,0.03310398514760815,836,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,10,140730.0,303556.0,496390.0,557170.0,870044.0
38,Richmond,1,2.04,0.4932193286180591,0.119,0.169662,0.03310398514760815,0,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,2,0.0,85676.0,175840.0,242245.0,301909.0
